season,SppAlphaCode,detection_richness,prop_of_sites,ScientificName,CommonNameEnglish
ovrwintr,YCNH,66,0.14084507042253522,Nyctanassa violacea,Yellow-crowned Night-Heron
ovrwintr,YFGR,66,0.9295774647887324,Tiaris olivaceus,Yellow-faced Grassquit
ovrwintr,YTWA,66,0.14084507042253522,Setophaga dominica,Yellow-throated Warbler
sprgmigr,AMKE,78,0.971830985915493,Falco sparverius,American Kestrel
sprgmigr,AMRE,78,0.676056338028169,Setophaga ruticilla,American Redstart
sprgmigr,ANPS,78,0.971830985915493,Tachornis phoenicobia,Antillean Palm-Swift
sprgmigr,BANA,78,0.971830985915493,Coereba flaveola,Bananaquit
sprgmigr,BARS,78,0.014084507042253521,Hirundo rustica,Barn Swallow
sprgmigr,BAWW,78,0.11267605633802817,Mniotilta varia,Black-and-white Warbler
sprgmigr,BCNH,78,0.014084507042253521,Nycticorax nycticorax,Black-crowned Night-Heron
sprgmigr,BEKI,78,0.04225352112676056,Megaceryle alcyon,Belted Kingfisher
sprgmigr,BLSW,78,0.014084507042253521,Cypseloides niger,Black Swift
sprgmigr,BPLT,78,0.8591549295774648,Phaenicophilus palmarum,Black-crowned Palm-Tanager
sprgmigr,BRNO,78,0.07042253521126761,Anous stolidus,Brown Noddy
sprgmigr,BRPE,78,0.18309859154929578,Pelecanus occidentalis,Brown Pelican
sprgmigr,BUDG,78,0.056338028169014086,NA,NA
sprgmigr,BWTE,78,0.014084507042253521,Spatula discors,Blue-winged Teal
sprgmigr,BWVI,78,0.04225352112676056,Vireo altiloquus,Black-whiskered Vireo
sprgmigr,CAEG,78,0.28169014084507044,Bubulcus ibis,Cattle Egret
sprgmigr,CAMA,78,0.7887323943661971,Progne dominicensis,Caribbean Martin
sprgmigr,CASW,78,0.056338028169014086,Petrochelidon fulva,Cave Swallow
sprgmigr,CGDO,78,0.971830985915493,Columbina passerina,Common Ground Dove
sprgmigr,CMWA,78,0.8591549295774648,Setophaga tigrina,Cape May Warbler
sprgmigr,COGA,78,0.028169014084507043,Gallinula galeata,Common Gallinule
sprgmigr,COTE,78,0.056338028169014086,Sterna hirundo,Common Tern
sprgmigr,COYE,78,0.08450704225352113,Geothlypis trichas,Common Yellowthroat
sprgmigr,EUCD,78,0.971830985915493,Streptopelia decaocto,Eurasian Collared-Dove
sprgmigr,GAGR,78,0.5352112676056338,Quiscalus niger,Greater Antillean Grackle
sprgmigr,GBTE,78,0.014084507042253521,Gelochelidon nilotica,Gull-billed Tern
sprgmigr,GLIB,78,0.014084507042253521,Plegadis falcinellus,Glossy Ibis
sprgmigr,GRAK,78,0.971830985915493,Tyrannus dominicensis,Gray Kingbird
sprgmigr,GREG,78,0.1267605633802817,Ardea alba,Great Egret
sprgmigr,GRHE,78,0.14084507042253522,Butorides virescens,Green Heron
sprgmigr,HILC,78,0.4788732394366197,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
sprgmigr,HIMA,78,0.9436619718309859,Anthracothorax dominicus,Hispaniolan Mango
sprgmigr,HIWO,78,0.971830985915493,Melanerpes striatus,Hispaniolan Woodpecker
sprgmigr,HOSP,78,0.971830985915493,Passer domesticus,House Sparrow
