ScientificName,CommonNameEnglish,AlphaCode,CommonNameSpanish,OccurenceStatus,ForagingSubGuildEnglish,ForagingGuildEnglish,ForagingSubGuildSpanish,ForagingGuildSpanish
Plegadis falcinellus,Glossy Ibis,GLIB,Coco Prieto,R,Invert-Carn,Invertivore,Invert-Carn,Invertívoro
Tachycineta euchrysea,Golden Swallow,GOSW,Golondrina Verde,R,Invert-aerial,Invertivore,Invert-aerio,Invertívoro
Tyrannus dominicensis,Gray Kingbird,GRAK,Petigre,"R, M",Invert-aerial,Invertivore,Invert-aerio,Invertívoro
Dumetella carolinensis,Gray Catbird,GRCA,Pájaro Gato,M,Omnivore,Omnivore,Omnívoro,Omnívoro
Ardea alba,Great Egret,GREG,Garza Real,"R, M",Pisc-Carn,Piscivore,Pisc-Carn,Piscívoro
Butorides virescens,Green Heron,GRHE,Crá-Crá,"R, M",Pisc-Carn,Piscivore,Pisc-Carn,Piscívoro
Ammodramus savannarum,Grasshopper Sparrow,GRSP,Tumbarrocío,R,Invert-Gran,Invertivore,Invert-Gran,Invertívoro
Tringa melanoleuca,Greater Yellowlegs,GRYE,Patas Amarillas Mayor,M,Omnivore,Omnivore,Omnívoro,Omnívoro
Microligea palustris,Green-tailed warbler,GTWA,Cigüita Coliverde,E,Invert-glean,Invertivore,Invert-busc,Invertívoro
Vermivora chrysoptera,Golden-winged Warbler,GWWA,Cigüita Ala de Oro,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Numida meleagris,Helmeted Guineafowl,HELG,"Guinea, Pintada",I,Omnivore,Omnivore,Omnívoro,Omnívoro
Larus argentatus,Herring Gull,HERG,Gaviota Arenquera,M,Carn-Invert,Carnivore,Carn-Invert,Carnívoro
Loxia megaplaga,Hispaniolan Crossbill,HICR,Pico Cruzado,E,Gran-Invert,Granivore,Gran-Invert,Granívoro
Chlorostilbon swainsonii,Hispaniolan Emerald,HIEM,Zumbador Verde,E,Nectar-Invert,Nectarivore,Nectar-Invert,Nectarívoro
Coccyzus longirostris,Hispaniolan Lizard-Cuckoo,HILC,Pájaro Bobo,E,Invert-Carn,Invertivore,Invert-Carn,Invertívoro
Icterus dominicensis,Hispaniolan Oriole,HIOR,"Calandria, Cigüa Canaria",E,Invert-Frug,Invertivore,Invert-Frug,Invertívoro
Contopus hispaniolensis,Hispaniolan Pewee,HIPE,Maroita,E,Invert-aerial,Invertivore,Invert-aerio,Invertívoro
Spindalis dominicensis,Hispaniolan Spindalis,HISP,Cigüa Amarilla,E,Frug-Invert,Frugivore,Frug-Invert,Frugívoro
Priotelus roseigaster,Hispaniolan Trogon,HITR,Papagayo,E,Invert-Frug,Invertivore,Invert-Frug,Invertívoro
Melanerpes striatus,Hispaniolan Woodpecker,HIWO,Carpintero,E,Invert-trunk,Invertivore,Invert-tronc,Invertívoro
Passer domesticus,House Sparrow,HOSP,Gorrión,I,Omnivore,Omnivore,Omnívoro,Omnívoro
